FreqPair,Paired,Metric,Comparison,Test,Statistic,p_value
10 Hz (S: 10),True,Average_PWR,Responder: t0 vs t2,Wilcoxon signed-rank,25.0,0.51953125
10 Hz (S: 10),True,Average_PWR,Non-responder: t0 vs t2,Wilcoxon signed-rank,6.0,0.8125
10 Hz (S: 10),False,Average_PWR,Responder vs Non-responder at t0,Mann-Whitney U,22.0,0.5833333333333334
10 Hz (S: 10),False,Average_PWR,Responder vs Non-responder at t2,Mann-Whitney U,16.0,0.22115384615384617
10 Hz (S: 10),True,Average_BASE,Responder: t0 vs t2,Wilcoxon signed-rank,29.0,0.7646484375
10 Hz (S: 10),True,Average_BASE,Non-responder: t0 vs t2,Wilcoxon signed-rank,7.0,1.0
10 Hz (S: 10),False,Average_BASE,Responder vs Non-responder at t0,Mann-Whitney U,31.0,0.7426739926739928
10 Hz (S: 10),False,Average_BASE,Responder vs Non-responder at t2,Mann-Whitney U,36.0,0.37728937728937734
10 Hz (S: 10),True,Average_SNR,Responder: t0 vs t2,Wilcoxon signed-rank,26.0,0.5771484375
10 Hz (S: 10),True,Average_SNR,Non-responder: t0 vs t2,Wilcoxon signed-rank,3.0,0.3125
10 Hz (S: 10),False,Average_SNR,Responder vs Non-responder at t0,Mann-Whitney U,22.0,0.5833333333333334
10 Hz (S: 10),False,Average_SNR,Responder vs Non-responder at t2,Mann-Whitney U,4.0,0.005494505494505494
12 Hz (S: 6),True,Average_PWR,Responder: t0 vs t2,Wilcoxon signed-rank,21.0,0.3203125
12 Hz (S: 6),True,Average_PWR,Non-responder: t0 vs t2,Wilcoxon signed-rank,5.0,0.625
12 Hz (S: 6),False,Average_PWR,Responder vs Non-responder at t0,Mann-Whitney U,19.0,0.37728937728937734
12 Hz (S: 6),False,Average_PWR,Responder vs Non-responder at t2,Mann-Whitney U,21.0,0.5096153846153847
12 Hz (S: 6),True,Average_BASE,Responder: t0 vs t2,Wilcoxon signed-rank,30.0,0.8310546875
12 Hz (S: 6),True,Average_BASE,Non-responder: t0 vs t2,Wilcoxon signed-rank,4.0,0.4375
12 Hz (S: 6),False,Average_BASE,Responder vs Non-responder at t0,Mann-Whitney U,27.0,1.0
12 Hz (S: 6),False,Average_BASE,Responder vs Non-responder at t2,Mann-Whitney U,22.0,0.5833333333333334
12 Hz (S: 6),True,Average_SNR,Responder: t0 vs t2,Wilcoxon signed-rank,22.0,0.365234375
12 Hz (S: 6),True,Average_SNR,Non-responder: t0 vs t2,Wilcoxon signed-rank,7.0,1.0
12 Hz (S: 6),False,Average_SNR,Responder vs Non-responder at t0,Mann-Whitney U,20.0,0.440934065934066
12 Hz (S: 6),False,Average_SNR,Responder vs Non-responder at t2,Mann-Whitney U,29.0,0.9130036630036632
18 Hz (S: 6),True,Average_PWR,Responder: t0 vs t2,Wilcoxon signed-rank,16.0,0.1474609375
18 Hz (S: 6),True,Average_PWR,Non-responder: t0 vs t2,Wilcoxon signed-rank,6.0,0.8125
18 Hz (S: 6),False,Average_PWR,Responder vs Non-responder at t0,Mann-Whitney U,26.0,0.9130036630036632
18 Hz (S: 6),False,Average_PWR,Responder vs Non-responder at t2,Mann-Whitney U,31.0,0.7426739926739928
18 Hz (S: 6),True,Average_BASE,Responder: t0 vs t2,Wilcoxon signed-rank,20.0,0.2783203125
18 Hz (S: 6),True,Average_BASE,Non-responder: t0 vs t2,Wilcoxon signed-rank,2.0,0.1875
18 Hz (S: 6),False,Average_BASE,Responder vs Non-responder at t0,Mann-Whitney U,40.0,0.18040293040293043
18 Hz (S: 6),False,Average_BASE,Responder vs Non-responder at t2,Mann-Whitney U,37.0,0.3195970695970696
18 Hz (S: 6),True,Average_SNR,Responder: t0 vs t2,Wilcoxon signed-rank,24.0,0.46484375
18 Hz (S: 6),True,Average_SNR,Non-responder: t0 vs t2,Wilcoxon signed-rank,5.0,0.625
18 Hz (S: 6),False,Average_SNR,Responder vs Non-responder at t0,Mann-Whitney U,14.0,0.14514652014652016
18 Hz (S: 6),False,Average_SNR,Responder vs Non-responder at t2,Mann-Whitney U,19.0,0.37728937728937734
20 Hz (S: 10),True,Average_PWR,Responder: t0 vs t2,Wilcoxon signed-rank,23.0,0.4130859375
20 Hz (S: 10),True,Average_PWR,Non-responder: t0 vs t2,Wilcoxon signed-rank,7.0,1.0
20 Hz (S: 10),False,Average_PWR,Responder vs Non-responder at t0,Mann-Whitney U,23.0,0.6611721611721613
20 Hz (S: 10),False,Average_PWR,Responder vs Non-responder at t2,Mann-Whitney U,20.0,0.440934065934066
20 Hz (S: 10),True,Average_BASE,Responder: t0 vs t2,Wilcoxon signed-rank,23.0,0.4130859375
20 Hz (S: 10),True,Average_BASE,Non-responder: t0 vs t2,Wilcoxon signed-rank,7.0,1.0
20 Hz (S: 10),False,Average_BASE,Responder vs Non-responder at t0,Mann-Whitney U,31.0,0.7426739926739928
20 Hz (S: 10),False,Average_BASE,Responder vs Non-responder at t2,Mann-Whitney U,38.0,0.26739926739926745
20 Hz (S: 10),True,Average_SNR,Responder: t0 vs t2,Wilcoxon signed-rank,28.0,0.7001953125
20 Hz (S: 10),True,Average_SNR,Non-responder: t0 vs t2,Wilcoxon signed-rank,7.0,1.0
20 Hz (S: 10),False,Average_SNR,Responder vs Non-responder at t0,Mann-Whitney U,19.0,0.37728937728937734
20 Hz (S: 10),False,Average_SNR,Responder vs Non-responder at t2,Mann-Whitney U,13.0,0.11492673992673993
20 Hz (S: 20),True,Average_PWR,Responder: t0 vs t2,Wilcoxon signed-rank,18.0,0.2060546875
20 Hz (S: 20),True,Average_PWR,Non-responder: t0 vs t2,Wilcoxon signed-rank,7.0,1.0
20 Hz (S: 20),False,Average_PWR,Responder vs Non-responder at t0,Mann-Whitney U,20.0,0.440934065934066
20 Hz (S: 20),False,Average_PWR,Responder vs Non-responder at t2,Mann-Whitney U,25.0,0.8269230769230771
20 Hz (S: 20),True,Average_BASE,Responder: t0 vs t2,Wilcoxon signed-rank,23.0,0.4130859375
20 Hz (S: 20),True,Average_BASE,Non-responder: t0 vs t2,Wilcoxon signed-rank,7.0,1.0
